event_no,club,category,event,round,heat,overall,order,reg_no,fullname,best,value,result,members,summary
120,Kerry,Senior Men,Javelin Throw (800g),*,1,2,2,147_149-,Kevin O' Shea,54.24,54.24,Silver,,Senior Men Javelin Throw (800g): 2. Kevin O' Shea (54.24) SILVER
120,Meath ,Senior Men,Javelin Throw (800g),*,1,3,3,150_149-,Denis Delaney,37.08,37.08,Bronze,,Senior Men Javelin Throw (800g): 3. Denis Delaney (37.08) BRONZE
120,East Cork Athletics Division,Senior Men,Javelin Throw (800g),*,1,4,4,149_149-,Tbc East Cork Athletics Division,21.20,21.2,,,Senior Men Javelin Throw (800g): 4. Tbc East Cork Athletics Division (21.20) 
120,Sligo,Senior Men,Javelin Throw (800g),*,1,5,5,148_149-,Conor Mcdonagh,21.12,21.12,,,Senior Men Javelin Throw (800g): 5. Conor Mcdonagh (21.12) 
120,Galway,Senior Men,Javelin Throw (800g),*,1,0,0,145_149-,Ben Edeh,X,-1,,,Senior Men Javelin Throw (800g): 0. Ben Edeh (X) 
121,Leevale AC,Senior Men,Javelin Throw (800g),*,1,1,1,190_150-,Andrew Scanlon,58.67,58.67,Gold,,Senior Men Javelin Throw (800g): 1. Andrew Scanlon (58.67) GOLD
121,Clonliffe Harriers,Senior Men,Javelin Throw (800g),*,1,2,2,189_150-,Hubert Adamczyk,50.76,50.76,Silver,,Senior Men Javelin Throw (800g): 2. Hubert Adamczyk (50.76) SILVER
121,Dundrum South Dublin AC,Senior Men,Javelin Throw (800g),*,1,3,3,175_150-,Willem  Geuskens,45.06,45.06,Bronze,,Senior Men Javelin Throw (800g): 3. Willem  Geuskens (45.06) BRONZE
121,St Abbans AC,Senior Men,Javelin Throw (800g),*,1,4,4,196_150-,Matthew Rossiter,44.46,44.46,,,Senior Men Javelin Throw (800g): 4. Matthew Rossiter (44.46) 
121,Lagan Valley AC,Senior Men,Javelin Throw (800g),*,1,5,5,199_150-,Jason Craig,43.61,43.61,,,Senior Men Javelin Throw (800g): 5. Jason Craig (43.61) 
121,Ratoath AC,Senior Men,Javelin Throw (800g),*,1,6,6,197_150-,Sean O' Sullivan,34.66,34.66,,,Senior Men Javelin Throw (800g): 6. Sean O' Sullivan (34.66) 
121,Nenagh Olympic AC,Senior Men,Javelin Throw (800g),*,1,7,7,195_150-,Joseph Miniter,33.13,33.13,,,Senior Men Javelin Throw (800g): 7. Joseph Miniter (33.13) 
121,Donore Harriers ,Senior Men,Javelin Throw (800g),*,1,8,8,198_150-,Ciarán Farrell,10.17,10.17,,,Senior Men Javelin Throw (800g): 8. Ciarán Farrell (10.17) 
123,Meath ,Senior Men,Weight For Distance (56lbs),*,1,1,1,150_152-,Robert Higgins,7.04,7.04,Gold,,Senior Men Weight For Distance (56lbs): 1. Robert Higgins (7.04) GOLD
123,Kerry,Senior Men,Weight For Distance (56lbs),*,1,2,2,147_152-,Padraic Mccarthy,5.21,5.21,Silver,,Senior Men Weight For Distance (56lbs): 2. Padraic Mccarthy (5.21) SILVER
123,East Cork Athletics Division,Senior Men,Weight For Distance (56lbs),*,1,3,3,149_152-,Jack Ahern,5.05,5.05,Bronze,,Senior Men Weight For Distance (56lbs): 3. Jack Ahern (5.05) BRONZE
123,Sligo,Senior Men,Weight For Distance (56lbs),*,1,4,4,148_152-,Sean Flannery,4.80,4.8,,,Senior Men Weight For Distance (56lbs): 4. Sean Flannery (4.80) 
123,Galway,Senior Men,Weight For Distance (56lbs),*,1,5,5,145_152-,Justin Lane,4.52,4.52,,,Senior Men Weight For Distance (56lbs): 5. Justin Lane (4.52) 
123,Donegal,Senior Men,Weight For Distance (56lbs),*,1,6,6,146_152-,Aidan  Gillespie,4.48,4.48,,,Senior Men Weight For Distance (56lbs): 6. Aidan  Gillespie (4.48) 
124,Leevale AC,Senior Men,Weight For Distance (56lbs),*,1,1,1,190_153-,Michael Healy,8.65,8.65,Gold,,Senior Men Weight For Distance (56lbs): 1. Michael Healy (8.65) GOLD
124,Clonliffe Harriers,Senior Men,Weight For Distance (56lbs),*,1,2,2,189_153-,Niall Allen,6.37,6.37,Silver,,Senior Men Weight For Distance (56lbs): 2. Niall Allen (6.37) SILVER
124,St Abbans AC,Senior Men,Weight For Distance (56lbs),*,1,3,3,196_153-,Patrick  Baldwin,5.77,5.77,Bronze,,Senior Men Weight For Distance (56lbs): 3. Patrick  Baldwin (5.77) BRONZE
124,Lagan Valley AC,Senior Men,Weight For Distance (56lbs),*,1,4,4,199_153-,Oliver  Taylor,5.36,5.36,,,Senior Men Weight For Distance (56lbs): 4. Oliver  Taylor (5.36) 
124,Nenagh Olympic AC,Senior Men,Weight For Distance (56lbs),*,1,5,5,195_153-,Lewis Doyle,4.10,4.1,,,Senior Men Weight For Distance (56lbs): 5. Lewis Doyle (4.10) 
124,Donore Harriers ,Senior Men,Weight For Distance (56lbs),*,1,6,6,198_153-,James Dunne,3.21,3.21,,,Senior Men Weight For Distance (56lbs): 6. James Dunne (3.21) 
124,Dundrum South Dublin AC,Senior Men,Weight For Distance (56lbs),*,1,0,0,175_153-,Jack  Moraghan,0,0,,,Senior Men Weight For Distance (56lbs): 0. Jack  Moraghan (0) 
124,Ratoath AC,Senior Men,Weight For Distance (56lbs),*,1,0,0,197_153-,Hugh Kelly,0,0,,,Senior Men Weight For Distance (56lbs): 0. Hugh Kelly (0) 
132,Enniscorthy AC,Senior Women,4x400m Relay,*,1,1,1,,Enniscorthy AC,4:10.43,250.423,Gold,"Fogarty, Blanaid, O Connor, Stephanie, Phylan, Sarah, Reck, Chloe, Gallagher O Reilly, Ruby, O Connor, Maggie, ",Senior Women 4x400m Relay: 1. Enniscorthy AC (4:10.43) GOLD
132,Waterford AC,Senior Women,4x400m Relay,*,1,2,2,,Waterford AC,4:12.33,252.323,Silver,"Clinton, Lucy , Murphy, Caoimhe , Rohan, Ciara , Maher, Nancy, Cleary, Roisin , Fitzgerald, Saoirse, ",Senior Women 4x400m Relay: 2. Waterford AC (4:12.33) SILVER
132,Kilkenny City Harriers,Senior Women,4x400m Relay,*,1,3,3,,Kilkenny City Harriers,4:17.72,257.716,Bronze,"Delahunty, Grace, O Callaghan , Clodagh, Holden, Blaithin, Wall, Ella, Kilkenny City Harriers, Tbc, Kilkenny City Harriers, Tbc, ",Senior Women 4x400m Relay: 3. Kilkenny City Harriers (4:17.72) BRONZE
132,St Abbans AC,Senior Women,4x400m Relay,*,1,4,4,,St Abbans AC,4:45.77,285.767,,"St Abbans Ac, Tbc, St Abbans Ac, Tbc, St Abbans Ac, Tbc, St Abbans Ac, Tbc, St Abbans Ac, Tbc, St Abbans Ac, Tbc, ",Senior Women 4x400m Relay: 4. St Abbans AC (4:45.77) 
133,Kilkenny City Harriers,Senior Women,4x100m Relay,*,1,1,1,,Kilkenny City Harriers,50.48,50.48,Gold,"Wall, Ella, Delahunty, Grace, Bergin, Martha , Maher, Kate, Kilkenny City Harriers, Tbc, Kilkenny City Harriers, Tbc, ",Senior Women 4x100m Relay: 1. Kilkenny City Harriers (50.48) GOLD
133,Enniscorthy AC,Senior Women,4x100m Relay,*,1,2,2,,Enniscorthy AC,51.39,51.386,Silver,"Reck, Chloe, Doyle, Katie, Fogarty, Blanaid, O Connor, Stephanie, O Connor, Maggie, Enniscorthy Ac, Tbc, ",Senior Women 4x100m Relay: 2. Enniscorthy AC (51.39) SILVER
133,Waterford AC,Senior Women,4x100m Relay,*,1,3,3,,Waterford AC,53.51,53.504,Bronze,"Power, Roseanne, O Connor, Chloe, Cleary, Roisin , Fitzgerald, Saoirse, Waterford Ac, Tbc, Waterford Ac, Tbc, ",Senior Women 4x100m Relay: 3. Waterford AC (53.51) BRONZE
133,St Abbans AC,Senior Women,4x100m Relay,*,1,0,0,,St Abbans AC,DNF,-2,,"Millet, Ruby, Fitzgerald, Lucy, Baldwin, Katie, Buggy, Saragh, Troy, Aaliyah, Mcdonald, Aoibhin , ",Senior Women 4x100m Relay: 0. St Abbans AC (DNF) 
134,Waterford AC,Senior Women,100m Hurdles (0.838m),*,1,1,1,184_156-,Caoimhe  Murphy,16.92,16.912,Gold,,Senior Women 100m Hurdles (0.838m): 1. Caoimhe  Murphy (16.92) GOLD
134,Kilkenny City Harriers,Senior Women,100m Hurdles (0.838m),*,1,2,2,185_156-,Blaithin Holden,17.52,17.513,Silver,,Senior Women 100m Hurdles (0.838m): 2. Blaithin Holden (17.52) SILVER
134,St Abbans AC,Senior Women,100m Hurdles (0.838m),*,1,0,0,183_156-,Tbc St Abbans Ac,DNS,-3,,,Senior Women 100m Hurdles (0.838m): 0. Tbc St Abbans Ac (DNS) 
134,Enniscorthy AC,Senior Women,100m Hurdles (0.838m),*,1,0,0,187_156-,Katie Doyle,DNS,-3,,,Senior Women 100m Hurdles (0.838m): 0. Katie Doyle (DNS) 
135,Waterford AC,Senior Women,400m Hurdles (0.762m),*,1,1,1,184_157-,Caoimhe  Murphy,1:09.67,69.667,Gold,,Senior Women 400m Hurdles (0.762m): 1. Caoimhe  Murphy (1:09.67) GOLD
135,Kilkenny City Harriers,Senior Women,400m Hurdles (0.762m),*,1,2,2,185_157-,Blaithin Holden,1:13.87,73.868,Silver,,Senior Women 400m Hurdles (0.762m): 2. Blaithin Holden (1:13.87) SILVER
135,Enniscorthy AC,Senior Women,400m Hurdles (0.762m),*,1,3,3,187_157-,Stephanie O Connor,1:16.14,76.139,Bronze,,Senior Women 400m Hurdles (0.762m): 3. Stephanie O Connor (1:16.14) BRONZE
135,St Abbans AC,Senior Women,400m Hurdles (0.762m),*,1,4,4,183_157-,Katie Baldwin,1:20.07,80.063,,,Senior Women 400m Hurdles (0.762m): 4. Katie Baldwin (1:20.07) 
136,Waterford AC,Senior Women,1500m,*,1,1,1,184_158-,Ciara  Rohan,4:33.98,273.976,Gold,,Senior Women 1500m: 1. Ciara  Rohan (4:33.98) GOLD
136,Enniscorthy AC,Senior Women,1500m,*,1,2,2,187_158-,Ruby Gallagher O Reilly,5:21.46,321.452,Silver,,Senior Women 1500m: 2. Ruby Gallagher O Reilly (5:21.46) SILVER
136,Kilkenny City Harriers,Senior Women,1500m,*,1,3,3,185_158-,Hazel Coogan ,5:23.25,323.243,Bronze,,Senior Women 1500m: 3. Hazel Coogan  (5:23.25) BRONZE
136,St Abbans AC,Senior Women,1500m,*,1,0,0,183_158-,Emily O'Shea,DNF,-2,,,Senior Women 1500m: 0. Emily O'Shea (DNF) 
137,Kilkenny City Harriers,Senior Women,400m Sprint,*,1,1,1,185_159-,Ella Wall,1:01.73,61.724,Gold,,Senior Women 400m Sprint: 1. Ella Wall (1:01.73) GOLD
137,Enniscorthy AC,Senior Women,400m Sprint,*,1,2,2,187_159-,Stephanie O Connor,1:03.61,63.603,Silver,,Senior Women 400m Sprint: 2. Stephanie O Connor (1:03.61) SILVER
137,Waterford AC,Senior Women,400m Sprint,*,1,3,3,184_159-,Nancy Maher,1:04.81,64.807,Bronze,,Senior Women 400m Sprint: 3. Nancy Maher (1:04.81) BRONZE
137,St Abbans AC,Senior Women,400m Sprint,*,1,0,0,183_159-,Emily  O'Shea,DNS,-3,,,Senior Women 400m Sprint: 0. Emily  O'Shea (DNS) 
138,Waterford AC,Senior Women,3000m,*,1,1,1,184_160-,Emer Mcglynn,10:15.47,615.466,Gold,,Senior Women 3000m: 1. Emer Mcglynn (10:15.47) GOLD
138,Enniscorthy AC,Senior Women,3000m,*,1,2,2,187_160-,Tbc Enniscorthy Ac,13:59.00,838.997,Silver,,Senior Women 3000m: 2. Tbc Enniscorthy Ac (13:59.00) SILVER
138,Kilkenny City Harriers,Senior Women,3000m,*,1,3,3,185_160-,Evelyn Mcevoy,14:48.73,888.727,Bronze,,Senior Women 3000m: 3. Evelyn Mcevoy (14:48.73) BRONZE
138,St Abbans AC,Senior Women,3000m,*,1,0,0,183_160-,Caitlin Mcdonald,DNS,-3,,,Senior Women 3000m: 0. Caitlin Mcdonald (DNS) 
139,Kilkenny City Harriers,Senior Women,200m Sprint,*,1,1,1,185_161-,Kate Maher,25.39,25.39,Gold,,Senior Women 200m Sprint: 1. Kate Maher (25.39) GOLD
139,Enniscorthy AC,Senior Women,200m Sprint,*,1,2,2,187_161-,Chloe Reck,27.28,27.279,Silver,,Senior Women 200m Sprint: 2. Chloe Reck (27.28) SILVER
139,Waterford AC,Senior Women,200m Sprint,*,1,3,3,184_161-,Roseanne Power,28.61,28.609,Bronze,,Senior Women 200m Sprint: 3. Roseanne Power (28.61) BRONZE
139,St Abbans AC,Senior Women,200m Sprint,*,1,4,4,183_161-,Lucy Fitzgerald,29.63,29.621,,,Senior Women 200m Sprint: 4. Lucy Fitzgerald (29.63) 
140,Waterford AC,Senior Women,800m,*,1,1,1,184_162-,Lucy  Clinton,2:16.76,136.752,Gold,,Senior Women 800m: 1. Lucy  Clinton (2:16.76) GOLD
140,Kilkenny City Harriers,Senior Women,800m,*,1,2,2,185_162-,Clodagh O Callaghan ,2:21.51,141.502,Silver,,Senior Women 800m: 2. Clodagh O Callaghan  (2:21.51) SILVER
140,Enniscorthy AC,Senior Women,800m,*,1,3,3,187_162-,Sarah Phylan,2:26.30,146.296,Bronze,,Senior Women 800m: 3. Sarah Phylan (2:26.30) BRONZE
140,St Abbans AC,Senior Women,800m,*,1,0,0,183_162-,Maisy O'Sullivan,DNS,-3,,,Senior Women 800m: 0. Maisy O'Sullivan (DNS) 
141,Enniscorthy AC,Senior Women,2000m Steeplechase (0.762m),*,1,1,1,187_163-,Lilly Rose Gadacz,9:43.10,583.092,Gold,,Senior Women 2000m Steeplechase (0.762m): 1. Lilly Rose Gadacz (9:43.10) GOLD
141,St Abbans AC,Senior Women,2000m Steeplechase (0.762m),*,1,0,0,183_163-,Tbc St Abbans Ac,DNS,-3,,,Senior Women 2000m Steeplechase (0.762m): 0. Tbc St Abbans Ac (DNS) 
141,Kilkenny City Harriers,Senior Women,2000m Steeplechase (0.762m),*,1,0,0,185_163-,Tbc Kilkenny City Harriers,DNS,-3,,,Senior Women 2000m Steeplechase (0.762m): 0. Tbc Kilkenny City Harriers (DNS) 
141,Waterford AC,Senior Women,2000m Steeplechase (0.762m),*,1,0,0,184_163-,Tbc Waterford Ac,DNS,-3,,,Senior Women 2000m Steeplechase (0.762m): 0. Tbc Waterford Ac (DNS) 
142,Enniscorthy AC,Senior Women,100m Sprint,*,1,1,1,187_164-,Chloe Reck,13.19,13.185,Gold,,Senior Women 100m Sprint: 1. Chloe Reck (13.19) GOLD
142,Kilkenny City Harriers,Senior Women,100m Sprint,*,1,2,2,185_164-,Grace Delahunty,13.52,13.515,Silver,,Senior Women 100m Sprint: 2. Grace Delahunty (13.52) SILVER
142,St Abbans AC,Senior Women,100m Sprint,*,1,3,3,183_164-,Ruby Millet,13.70,13.696,Bronze,,Senior Women 100m Sprint: 3. Ruby Millet (13.70) BRONZE
142,Waterford AC,Senior Women,100m Sprint,*,1,4,4,184_164-,Roseanne Power,13.81,13.801,,,Senior Women 100m Sprint: 4. Roseanne Power (13.81) 
143,Enniscorthy AC,Senior Women,Shot Put (4kg),*,1,1,1,187_165-,Saidbhe Byrne,9.71,9.71,Gold,,Senior Women Shot Put (4kg): 1. Saidbhe Byrne (9.71) GOLD
143,Waterford AC,Senior Women,Shot Put (4kg),*,1,2,2,184_165-,Roseanne Power,6.59,6.59,Silver,,Senior Women Shot Put (4kg): 2. Roseanne Power (6.59) SILVER
143,St Abbans AC,Senior Women,Shot Put (4kg),*,1,3,3,183_165-,Bernie  Lawless,6.35,6.35,Bronze,,Senior Women Shot Put (4kg): 3. Bernie  Lawless (6.35) BRONZE
143,Kilkenny City Harriers,Senior Women,Shot Put (4kg),*,1,4,4,185_165-,Karen Nugent,5.49,5.49,,,Senior Women Shot Put (4kg): 4. Karen Nugent (5.49) 
144,Kilkenny City Harriers,Senior Women,High Jump,*,1,1,1,185_166-,Ella Wall,1.5,1.5,Gold,,Senior Women High Jump: 1. Ella Wall (1.5) GOLD
144,St Abbans AC,Senior Women,High Jump,*,1,2,2,183_166-,Aaliyah Troy,1.4,1.4,Silver,,Senior Women High Jump: 2. Aaliyah Troy (1.4) SILVER
144,Enniscorthy AC,Senior Women,High Jump,*,1,3,3,187_166-,Ruby Gallagher O Reilly,1.35,1.35,Bronze,,Senior Women High Jump: 3. Ruby Gallagher O Reilly (1.35) BRONZE
144,Waterford AC,Senior Women,High Jump,*,1,4,4,184_166-,Ciara  Rohan,1.1,1.1,,,Senior Women High Jump: 4. Ciara  Rohan (1.1) 
145,St Abbans AC,Senior Women,Hammer Throw (4Kg),*,1,1,1,183_167-,Eadaoin Coady,23.82,23.82,Gold,,Senior Women Hammer Throw (4Kg): 1. Eadaoin Coady (23.82) GOLD
145,Enniscorthy AC,Senior Women,Hammer Throw (4Kg),*,1,2,2,187_167-,Deirdre Bowler Kavanagh,17.34,17.34,Silver,,Senior Women Hammer Throw (4Kg): 2. Deirdre Bowler Kavanagh (17.34) SILVER
145,Kilkenny City Harriers,Senior Women,Hammer Throw (4Kg),*,1,3,3,185_167-,Karen Nugent,15.02,15.02,Bronze,,Senior Women Hammer Throw (4Kg): 3. Karen Nugent (15.02) BRONZE
145,Waterford AC,Senior Women,Hammer Throw (4Kg),*,1,0,0,184_167-,Tbc Waterford Ac,DNS,-3,,,Senior Women Hammer Throw (4Kg): 0. Tbc Waterford Ac (DNS) 
146,Kilkenny City Harriers,Senior Women,Long Jump,*,1,1,1,185_168-,Abbie O Brien,4.40,4.4,Gold,,Senior Women Long Jump: 1. Abbie O Brien (4.40) GOLD
146,St Abbans AC,Senior Women,Long Jump,*,1,2,2,183_168-,Ruby  Millet,4.36,4.36,Silver,,Senior Women Long Jump: 2. Ruby  Millet (4.36) SILVER
146,Waterford AC,Senior Women,Long Jump,*,1,3,3,184_168-,Chloe O Connor,3.98,3.98,Bronze,,Senior Women Long Jump: 3. Chloe O Connor (3.98) BRONZE
146,Enniscorthy AC,Senior Women,Long Jump,*,1,4,4,187_168-,Maggie O Connor,3.67,3.67,,,Senior Women Long Jump: 4. Maggie O Connor (3.67) 
147,St Abbans AC,Senior Women,Pole Vault,*,1,1,1,183_169-,Aoibhin  Mcdonald,2.6,2.6,Gold,,Senior Women Pole Vault: 1. Aoibhin  Mcdonald (2.6) GOLD
147,Enniscorthy AC,Senior Women,Pole Vault,*,1,2,2,187_169-,Jelana Mcnamara,1.55,1.55,Silver,,Senior Women Pole Vault: 2. Jelana Mcnamara (1.55) SILVER
147,Waterford AC,Senior Women,Pole Vault,*,1,0,0,184_169-,Tbc Waterford Ac,0,0,,,Senior Women Pole Vault: 0. Tbc Waterford Ac (0) 
147,Kilkenny City Harriers,Senior Women,Pole Vault,*,1,0,0,185_169-,Tbc Kilkenny City Harriers,0,0,,,Senior Women Pole Vault: 0. Tbc Kilkenny City Harriers (0) 
148,Enniscorthy AC,Senior Women,Weight For Distance (28lbs),*,1,1,1,187_170-,Deirdre Bowler Kavanagh,5.73,5.73,Gold,,Senior Women Weight For Distance (28lbs): 1. Deirdre Bowler Kavanagh (5.73) GOLD
148,Kilkenny City Harriers,Senior Women,Weight For Distance (28lbs),*,1,2,2,185_170-,Ashing Burns,4.34,4.34,Silver,,Senior Women Weight For Distance (28lbs): 2. Ashing Burns (4.34) SILVER
148,St Abbans AC,Senior Women,Weight For Distance (28lbs),*,1,3,3,183_170-,Bernie  Lawless,4.15,4.15,Bronze,,Senior Women Weight For Distance (28lbs): 3. Bernie  Lawless (4.15) BRONZE
148,Waterford AC,Senior Women,Weight For Distance (28lbs),*,1,0,0,184_170-,Tbc Waterford Ac,0,0,,,Senior Women Weight For Distance (28lbs): 0. Tbc Waterford Ac (0) 
149,Enniscorthy AC,Senior Women,Discus Throw (1Kg),*,1,1,1,187_171-,Lisa Breen,19.55,19.55,Gold,,Senior Women Discus Throw (1Kg): 1. Lisa Breen (19.55) GOLD
149,Kilkenny City Harriers,Senior Women,Discus Throw (1Kg),*,1,2,2,185_171-,Ashing Burns,18.84,18.84,Silver,,Senior Women Discus Throw (1Kg): 2. Ashing Burns (18.84) SILVER
149,St Abbans AC,Senior Women,Discus Throw (1Kg),*,1,3,3,183_171-,Katie Baldwin,15.65,15.65,Bronze,,Senior Women Discus Throw (1Kg): 3. Katie Baldwin (15.65) BRONZE
149,Waterford AC,Senior Women,Discus Throw (1Kg),*,1,0,0,184_171-,Tbc Waterford Ac,,0,,,Senior Women Discus Throw (1Kg): 0. Tbc Waterford Ac (None) 
150,Enniscorthy AC,Senior Women,Javelin Throw (600g),*,1,1,1,187_172-,Saidbhe Byrne,32.72,32.72,Gold,,Senior Women Javelin Throw (600g): 1. Saidbhe Byrne (32.72) GOLD
150,Kilkenny City Harriers,Senior Women,Javelin Throw (600g),*,1,2,2,185_172-,Hazel Coogan ,26.51,26.51,Silver,,Senior Women Javelin Throw (600g): 2. Hazel Coogan  (26.51) SILVER
150,St Abbans AC,Senior Women,Javelin Throw (600g),*,1,3,3,183_172-,Katie Baldwin,19.48,19.48,Bronze,,Senior Women Javelin Throw (600g): 3. Katie Baldwin (19.48) BRONZE
150,Waterford AC,Senior Women,Javelin Throw (600g),*,1,4,4,184_172-,Tbc Waterford Ac,8.61,8.61,,,Senior Women Javelin Throw (600g): 4. Tbc Waterford Ac (8.61) 
151,St Abbans AC,Senior Women,Triple Jump,*,1,1,1,183_173-,Saragh Buggy,11.89,11.89,Gold,,Senior Women Triple Jump: 1. Saragh Buggy (11.89) GOLD
151,Enniscorthy AC,Senior Women,Triple Jump,*,1,2,2,187_173-,Tbc Enniscorthy Ac,9.13,9.13,Silver,,Senior Women Triple Jump: 2. Tbc Enniscorthy Ac (9.13) SILVER
151,Waterford AC,Senior Women,Triple Jump,*,1,3,3,184_173-,Chloe O Connor,8.91,8.91,Bronze,,Senior Women Triple Jump: 3. Chloe O Connor (8.91) BRONZE
151,Kilkenny City Harriers,Senior Women,Triple Jump,*,1,4,4,185_173-,Abbie O Brien,8.05,8.05,,,Senior Women Triple Jump: 4. Abbie O Brien (8.05) 
152,Kilkenny City Harriers,Senior Men,110m Hurdles (0.991m),*,1,1,1,200_174-,Noah Gilmore,16.47,16.464,Gold,,Senior Men 110m Hurdles (0.991m): 1. Noah Gilmore (16.47) GOLD
152,Waterford AC,Senior Men,110m Hurdles (0.991m),*,1,2,2,50_174-,Taiwo Adereni,18.01,18.006,Silver,,Senior Men 110m Hurdles (0.991m): 2. Taiwo Adereni (18.01) SILVER
152,Enniscorthy AC,Senior Men,110m Hurdles (0.991m),*,1,3,3,20_174-,Peter O Connor,19.22,19.22,Bronze,,Senior Men 110m Hurdles (0.991m): 3. Peter O Connor (19.22) BRONZE
152,Galway City Harriers,Senior Men,110m Hurdles (0.991m),*,1,4,4,49_174-,Richard Kamson,22.35,22.347,,,Senior Men 110m Hurdles (0.991m): 4. Richard Kamson (22.35) 
152,Crusaders AC,Senior Men,110m Hurdles (0.991m),*,1,0,0,19_174-,Sean Owens,DNS,-3,,,Senior Men 110m Hurdles (0.991m): 0. Sean Owens (DNS) 
152,Raheny Shamrock,Senior Men,110m Hurdles (0.991m),*,1,0,0,16_174-,Tbc Raheny Shamrock,DNS,-3,,,Senior Men 110m Hurdles (0.991m): 0. Tbc Raheny Shamrock (DNS) 
153,Kilkenny City Harriers,Senior Men,1500m Walk,*,1,1,1,200_175-,Nicholas Dunphy,7:50.83,470.823,Gold,,Senior Men 1500m Walk: 1. Nicholas Dunphy (7:50.83) GOLD
153,Waterford AC,Senior Men,1500m Walk,*,1,2,2,50_175-,Paschal  Halley,11:05.26,665.251,Silver,,Senior Men 1500m Walk: 2. Paschal  Halley (11:05.26) SILVER
153,Enniscorthy AC,Senior Men,1500m Walk,*,1,3,3,20_175-,Keelan Dobbs,11:17.72,677.72,Bronze,,Senior Men 1500m Walk: 3. Keelan Dobbs (11:17.72) BRONZE
153,Galway City Harriers,Senior Men,1500m Walk,*,1,4,4,49_175-,Ben Sheehan,13:26.82,806.82,,,Senior Men 1500m Walk: 4. Ben Sheehan (13:26.82) 
153,Crusaders AC,Senior Men,1500m Walk,*,1,0,0,19_175-,Tbc Crusaders Ac,DNS,-3,,,Senior Men 1500m Walk: 0. Tbc Crusaders Ac (DNS) 
153,Raheny Shamrock,Senior Men,1500m Walk,*,1,0,0,16_175-,Simon Devenney,DNS,-3,,,Senior Men 1500m Walk: 0. Simon Devenney (DNS) 
154,Raheny Shamrock,Senior Men,400m Hurdles (0.914m),*,1,1,1,16_176-,Oisin Mccorry,58.17,58.169,Gold,,Senior Men 400m Hurdles (0.914m): 1. Oisin Mccorry (58.17) GOLD
154,Waterford AC,Senior Men,400m Hurdles (0.914m),*,1,2,2,50_176-,Gleb  Slyusar,59.43,59.426,Silver,,Senior Men 400m Hurdles (0.914m): 2. Gleb  Slyusar (59.43) SILVER
154,Galway City Harriers,Senior Men,400m Hurdles (0.914m),*,1,3,3,49_176-,Adill Prochownik,1:01.80,61.792,Bronze,,Senior Men 400m Hurdles (0.914m): 3. Adill Prochownik (1:01.80) BRONZE
154,Enniscorthy AC,Senior Men,400m Hurdles (0.914m),*,1,4,4,20_176-,Jack Browne,1:02.47,62.469,,,Senior Men 400m Hurdles (0.914m): 4. Jack Browne (1:02.47) 
154,Kilkenny City Harriers,Senior Men,400m Hurdles (0.914m),*,1,5,5,200_176-,Cormac Holden,1:05.62,65.612,,,Senior Men 400m Hurdles (0.914m): 5. Cormac Holden (1:05.62) 
154,Crusaders AC,Senior Men,400m Hurdles (0.914m),*,1,6,6,19_176-,Sean Owens,1:21.96,81.952,,,Senior Men 400m Hurdles (0.914m): 6. Sean Owens (1:21.96) 
155,Kilkenny City Harriers,Senior Men,4x100m Relay,*,1,1,1,,Kilkenny City Harriers,44.60,44.593,Gold,"Mtinsi, Kyrell, Cullen, Alex, Raggett, Louie, Gilmore, Noah, Kilkenny City Harriers, Tbc, Kilkenny City Harriers, Tbc, ",Senior Men 4x100m Relay: 1. Kilkenny City Harriers (44.60) GOLD
155,Raheny Shamrock,Senior Men,4x100m Relay,*,1,2,2,,Raheny Shamrock,44.71,44.704,Silver,"Dewilde, Fionn, Konovalov, David, Sammon, Erik , Bany, Jonas, Raheny Shamrock, Tbc, Raheny Shamrock, Tbc, ",Senior Men 4x100m Relay: 2. Raheny Shamrock (44.71) SILVER
155,Crusaders AC,Senior Men,4x100m Relay,*,1,3,3,,Crusaders AC,45.56,45.559,Bronze,"Beaumont, Liam, Gormley, Leo, Byrne, Jack, Bastow, Charlie,, Crusaders Ac, Tbc, Crusaders Ac, Tbc, ",Senior Men 4x100m Relay: 3. Crusaders AC (45.56) BRONZE
155,Galway City Harriers,Senior Men,4x100m Relay,*,1,4,4,,Galway City Harriers,45.86,45.856,,"Erugo, Jonah, Kamson, Richard, Sheehan, Ben, Mcgovern, Shane, Prochownik, Adill, Parker, Sean, ",Senior Men 4x100m Relay: 4. Galway City Harriers (45.86) 
155,Waterford AC,Senior Men,4x100m Relay,*,1,5,5,,Waterford AC,46.13,46.13,,"Mamombe, Adrian Simrashe, Hayes, Evan, Slyusar, Gleb , Halley, Tom, Savage, Paul , Waterford Ac, Tbc, ",Senior Men 4x100m Relay: 5. Waterford AC (46.13) 
155,Enniscorthy AC,Senior Men,4x100m Relay,*,1,0,0,,Enniscorthy AC,DQ,-4,,"Long, Dannan, Browne, Jack, Obasoham, Joseph, O Connor, Joss, St Claire Johnson, Chris, O Connor, Peter, ",Senior Men 4x100m Relay: 0. Enniscorthy AC (DQ) 
156,Kilkenny City Harriers,Senior Men,1500m,*,1,1,1,200_178-,Eoin  Everard,3:52.78,232.777,Gold,,Senior Men 1500m: 1. Eoin  Everard (3:52.78) GOLD
